competence_id;course_id;course_comp_level
db;m1-db;100
db;b3-db;100
db;b5-db2;100
math;m1-math;100
math;b1-math;100
math;b2-math;100
math;b4-math;100
web;m2-web1;100
web;m2-web2;100
web;m3-web3;100
web;b2-web;100
model3d;m1-model3d;100
history;b1-history;100
testing;m2-testing;100
testing;b4-testing;100
prog;m2-testing;50
prog;m1-java;100
prog;b4-testing;50
prog;b2-oop;100
prog;b5-backend;100
servers;b5-backend;80
algo;m3-algos;100
algo;b3-algo;100
supervise;ms-thesis;100
supervise;bs-thesis;100
supervise;b5-intern;100
english;m2-eng;100
mgmt;m2-mgmt;100
ai;m2-ai;100
struct;m2-struct;100
present;m3-pres;100
geo;m3-geo;100
b5-imgproc;imgproc;100
m3-cv;cv;100
secure;b5-secure;100
mobile;b5-mobile;100
net;b3-net;100
