competence_id;competence_name
db;Databases
math;Mathematics
web;Web
model3d;3D modelling
history;History of computing
testing;Software testing
prog;Programming
struct;Data structures
algo;Algorithms
servers;Servers
supervise;Bachelor and master thesis supervision
vart;Visual arts
part;Performing arts
english;English language
mgmt;Project management
ai;Artificial Intelligence
present;Art of presentation
geo;Geo-spatial data processing
imgproc;Image processing
cv;Computer vision
secure;Security
mobile;Mobile computing
net;Computer networks
fractals;Fractals
