teacher_id;competence_id;teacher_comp_level
db_teacher;db;100
overloaded_math_teacher;math;100
overloaded_web_teacher;web;100
overloaded_3dmodeller;model3d;100
overloaded_3dmodeller;history;20
overloaded_3dmodeller;testing;10
many_pieces;prog;50
many_pieces;algo;50
many_pieces;servers;30
other_competence;vart;100
other_competence;part;100
freerider;english;100
freerider;mgmt;100
fragmented;supervise;100
fragmented;prog;100
fragmented;testing;100
fragmented;ai;50
fifty_perc;struct;100
fifty_perc;ai;100
fifty_overloaded;m3-pres;100
fifty_overloaded;m3-geo;100
two_courses;imgproc;100
two_courses;cv;100
mobile_researcher;mobile;100
net_teacher;net;100
net_teacher;supervise;100
old_tester;testing;100
new_tester;testing;100
tired_history;history;100
new_history;history;100
normal1;prog;100
normal1;supervise;100
ext_sup1;supervise;100
ext_sup2;supervise;100
